Movie_ID,Movie_Title,Budget,Cast,Crew,Studios,Genre,Keywords,Languages,Countries,Filming_Location,Release_Data,Runtime,Gross_worldwide,Rating,Rating_Count,ListOfCertificate
137523,Fight Club,"Gross US & Canada$37,030,102","Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,Richmond Arquette,David Andrews,George Maguire,Eugenie Bondurant,Christina Cabot,Helena Bonham Carter,Sydney 'Big Dawg' Colston,Rachel Singer,Christie Cronenweth,Tim DeZarn,Ezra Buzzington,Dierdre Downing-Jackson,Bob Stephenson,Charlie Dell","Jim Uhls,Chuck Palahniuk,David Fincher","Fox 2000 Pictures,New Regency Productions,Linson Films","Crime,Drama,Thriller","anti establishment,insomnia,multiple personality disorder,surprise ending,group therapy",English,"United States,Germany",,1999-10-15,PT2H19M,"$101,321,009",8.8,2552542,
816692,Interstellar,"Gross US & Canada$203,227,580","Matthew McConaughey,Anne Hathaway,Jessica Chastain,Ellen Burstyn,Mackenzie Foy,John Lithgow,Timothée Chalamet,David Oyelowo,Collette Wolfe,Francis X. McCarthy,Bill Irwin,Andrew Borba,Wes Bentley,William Devane,Michael Caine,David Gyasi,Josh Stewart,Casey Affleck","Christopher Nolan,Jonathan Nolan","Paramount Pictures,Warner Bros.,Legendary Pictures","Adventure,Drama,Sci-Fi","saving the world,astronaut,space travel,father daughter relationship,wormhole",English,"United States,United Kingdom,Canada",Iceland,2014-11-07,PT2H49M,"$773,808,312",8.7,2452222,
110912,Pulp Fiction,"Gross US & Canada$107,928,762","John Travolta,Uma Thurman,Samuel L. Jackson,Tim Roth,Amanda Plummer,Laura Lovelace,Phil LaMarr,Frank Whaley,Burr Steers,Bruce Willis,Ving Rhames,Paul Calderon,Bronagh Gallagher,Rosanna Arquette,Eric Stoltz,Jerome Patrick Hoban,Michael Gilden,Gary Shorelle","Quentin Tarantino,Roger Avary","Miramax,A Band Apart,Jersey Films","Crime,Drama","nonlinear timeline,overdose,drug use,drug overdose,neo noir","English,Spanish,French",United States,1435 Flower Street Glendale California USA,1994-10-14,PT2H34M,"$213,928,762",8.8,2397356,
468569,The Dark Knight,"Gross US & Canada$534,987,076","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,Cillian Murphy,Chin Han,Nestor Carbonell,Eric Roberts,Ritchie Coster,Anthony Michael Hall,Keith Szarabajka,Colin McFarlane,Joshua Harto","Christopher Nolan,David S. Goyer,Jonathan Nolan","Warner Bros.,Legendary Pictures,DC Comics","Action,Crime,Drama","psychopath,moral dilemma,superhero,clown,criminal mastermind","English,Mandarin","United States,United Kingdom",Chicago Illinois USA,2008-07-18,PT2H32M,"$1,008,294,632",9.1,3113248,
167260,The Lord of the Rings: The Return of the King,"Gross US & Canada$381,878,219","Elijah Wood,Viggo Mortensen,Ian McKellen,Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach,Sean Bean,Cate Blanchett,Orlando Bloom,Billy Boyd,Sadwyn Brophy,Alistair Browning,Marton Csokas,Richard Edge,Jason Fitch,Bernard Hill","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson","New Line Cinema,WingNut Films,The Saul Zaentz Company","Adventure,Drama,Fantasy","journey,orc,hobbit,battle,quest","English,Quenya,Old English,Sindarin","New Zealand,United States",Hinuera Valley Matamata Waikato New Zealand,2003-12-17,PT3H21M,"$1,139,431,705",9,2130675,
120737,The Lord of the Rings: The Fellowship of the Ring,"Gross US & Canada$319,372,078","Elijah Wood,Ian McKellen,Orlando Bloom,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean,Billy Boyd,Andy Serkis,Marton Csokas,Viggo Mortensen,Megan Edwards,Michael Elsworth,Cate Blanchett,Mark Ferguson,Ian Holm,Christopher Lee","J.R.R. Tolkien,Fran Walsh,Philippa Boyens,Peter Jackson","New Line Cinema,WingNut Films,Marzano Films","Adventure,Drama,Fantasy","ring,quest,middle earth,elf,based on novel","English,Sindarin","New Zealand,United States,United Kingdom",Wellington New Zealand,2001-12-19,PT2H58M,"$889,477,586",8.9,2168294,
120815,Saving Private Ryan,"Gross US & Canada$217,049,603","Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg,Vin Diesel,Giovanni Ribisi,Jeremy Davies,Ted Danson,Paul Giamatti,Dennis Farina,Joerg Stadler,Max Martini,Dylan Bruno,Daniel Cerqueira,Demetri Goritsas,Ian Porter","Steven Spielberg,Robert Rodat","DreamWorks Pictures,Paramount Pictures,Amblin Entertainment","Drama,War","world war two,d day,u.s. army,combat,omaha beach","English,French,German,Czech",United States,,1998-07-24,PT2H49M,"$482,352,390",8.6,1613354,
172495,Gladiator,"Gross US & Canada$187,705,427","Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris,Derek Jacobi,Djimon Hounsou,David Schofield,John Shrapnel,Tomas Arana,Ralf Moeller,Spencer Treat Clark,David Hemmings,Tommy Flanagan,Sven-Ole Thorsen,Omid Djalili,Nicholas McGaughey,Chris Kell","John Logan,David Franzoni,William Nicholson,Ridley Scott","DreamWorks Pictures,Universal Pictures,Scott Free Productions","Action,Adventure,Drama","roman empire,gladiator,slavery,combat,battlefield",English,"United States,United Kingdom,Malta",Ouarzazate Morocco,2000-05-05,PT2H35M,"$465,516,248",8.5,1817821,
993846,The Wolf of Wall Street,"Gross US & Canada$116,900,694","Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,Kyle Chandler,Rob Reiner,Jon Bernthal,Jon Favreau,Jean Dujardin,Joanna Lumley,Cristin Milioti,Christine Ebersole,Shea Whigham,Katarina Cas,P.J. Byrne,Kenneth Choi,Brian Sacca,Henry Zebrowski","Jordan Belfort,Terence Winter,Martin Scorsese","Red Granite Pictures,Appian Way,Sikelia Productions","Biography,Comedy,Crime","based on true story,stockbroker,1990s,adultery,sex in bed","English,French",United States,Ardsley New York USA,2013-12-25,PT3H,"$407,039,432",8.2,1746481,
114369,Se7en,"Gross US & Canada$101,040,643","Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,Daniel Zacapa,Gwyneth Paltrow,John Cassini,Bob Mack,Peter Crombie,Reg E. Cathey,R. Lee Ermey,George Christy,Endre Hules,Hawthorne James,William Davidson,Bob Collins,Jimmy Dale Hartsell,Richard Roundtree","Andrew Kevin Walker,David Fincher","Arnold Kopelson Productions,Cecchi Gori Pictures,Juno Pix","Crime,Drama,Mystery","serial killer,detective,murder,murder investigation,severed head",English,United States,,1995-09-22,PT2H7M,"$328,983,060",8.6,1982265,
